Job Desc,Profile,Count,Matching title,Not matching title,Matching languages,Not matching languages,Matching Skills,Not matching Skills,Matching duration,Not matching duration,Matching work regime,Not matching work regime,Matching location,Not matching location,Matching industry,Not matching industry,Matching daily rate,Not matching daily rate,Matching company size,Not matching company size,Matching tech objectives,Not matching tech objectives,Matching availability,Not matching availability,Matching mission constraint,Not matching mision constraint
Job desc 1,Profile 1,29,Data Engineer, ,English ,Dutch,python 2 sql 3 aws 1 ,tableau 3 datavault 2.0 2 , ,293 days,Full-time, , ,Antwerp 41.783475643454715, ,Construction,600, , ,Large (250+ employees),,big data django scala ,Availability, ,Time constraint, 
 ,Profile 15,23,Data Engineer, ,English ,Dutch,python 2 sql 3 ,aws 1 tableau 3 datavault 2.0 2 , ,293 days, ,Full-time, ,Canary Wharf 313.307677231423, ,Construction,550, , ,Large (250+ employees),,big data django scala ,Availability, ,Time constraint, 
 ,Profile 18,21, ,Data Engineer,English ,Dutch,aws 1 tableau 3 ,python 2 sql 3 datavault 2.0 2 , ,293 days, ,Full-time, ,Hatfield 334.0827413527899, ,Construction, ,750,Medium (50-250 employees), ,,big data django scala ,Availability, ,Time constraint, 
 ,Profile 44,19,Data Engineer, ,English ,Dutch,python 2 ,sql 3 aws 1 tableau 3 datavault 2.0 2 ,293 days, , ,Full-time, ,Antwerp 41.783475643454715, ,Construction, ,800, ,Large (250+ employees),big data ,django scala ,Availability, ,Time constraint, 
 ,Profile 22,19,Data Engineer, ,English ,Dutch,python 2 ,sql 3 aws 1 tableau 3 datavault 2.0 2 , ,293 days,Full-time, , ,Slough 352.51184858048117, ,Construction,550, , ,Micro (1-10 employees),,big data django scala ,Availability, ,Time constraint, 
 ,Profile 41,18, ,Data Engineer,English ,Dutch,python 2 ,sql 3 aws 1 tableau 3 datavault 2.0 2 ,293 days, ,Full-time, , ,Liege 88.82904564655442, ,Construction, ,950, ,Small (10 - 50 employees),,big data django scala ,Availability, ,Time constraint, 
 ,Profile 25,18, ,Data Engineer,English ,Dutch,aws 1 ,python 2 sql 3 tableau 3 datavault 2.0 2 , ,293 days,Full-time, , ,Liege 88.82904564655442, ,Construction, ,650,Medium (50-250 employees), ,scala ,big data django ,Availability, ,Time constraint, 
 ,Profile 20,18, ,Data Engineer,English ,Dutch,python 2 ,sql 3 aws 1 tableau 3 datavault 2.0 2 ,293 days, , ,Full-time, ,Woking 346.79643111728603, ,Construction, ,850, ,Large (250+ employees),big data ,django scala ,Availability, ,Time constraint, 
 ,Profile 11,18, ,Data Engineer,English ,Dutch,python 2 ,sql 3 aws 1 tableau 3 datavault 2.0 2 ,293 days, ,Full-time, , ,London 320.72696885041995, ,Construction, ,850,Medium (50-250 employees), ,,big data django scala ,Availability, ,Time constraint, 
 ,Profile 46,17, ,Data Engineer,English ,Dutch,python 2 aws 1 ,sql 3 tableau 3 datavault 2.0 2 , ,293 days,Full-time, ,Antwerp 41.783475643454715, , ,Construction, ,950, ,Small (10 - 50 employees),,big data django scala , ,Availability, ,Time constraint
 ,Profile 43,17, ,Data Engineer,English ,Dutch,python 2 tableau 3 ,sql 3 aws 1 datavault 2.0 2 ,293 days, ,Full-time, , ,Canary Wharf 313.307677231423, ,Construction, ,850, ,Small (10 - 50 employees),,big data django scala , ,Availability, ,Time constraint
 ,Profile 39,17, ,Data Engineer,English ,Dutch,python 2 ,sql 3 aws 1 tableau 3 datavault 2.0 2 , ,293 days,Full-time, , ,Canary Wharf 313.307677231423, ,Construction, ,650,Medium (50-250 employees), ,,big data django scala ,Availability, ,Time constraint, 
 ,Profile 28,16, ,Data Engineer,English ,Dutch,python 2 ,sql 3 aws 1 tableau 3 datavault 2.0 2 , ,293 days, ,Full-time, ,Hatfield 334.0827413527899, ,Construction, ,750, ,Large (250+ employees),,big data django scala ,Availability, ,Time constraint, 
 ,Profile 24,16, ,Data Engineer,English ,Dutch,tableau 3 ,python 2 sql 3 aws 1 datavault 2.0 2 , ,293 days, ,Full-time, ,Liege 88.82904564655442, ,Construction, ,850,Medium (50-250 employees), ,,big data django scala ,Availability, ,Time constraint, 
 ,Profile 37,15, ,Data Engineer,English ,Dutch,python 2 aws 1 ,sql 3 tableau 3 datavault 2.0 2 , ,293 days, ,Full-time, ,Cheshunt 319.48237729476136, ,Construction, ,650,Medium (50-250 employees), ,,big data django scala , ,Availability, ,Time constraint
 ,Profile 31,15,Data Engineer, ,English ,Dutch,python 2 ,sql 3 aws 1 tableau 3 datavault 2.0 2 ,293 days, ,Full-time, , ,Hatfield 334.0827413527899,Construction, ,600, , ,Micro (1-10 employees),,big data django scala , ,Availability, ,Time constraint
